"","date","rh","temperature"
"302",2019-09-05 07:43:49,54.7,24
"303",2019-09-05 07:43:54,54.7,24.1
"304",2019-09-05 07:43:57,54.7,24.1
"305",2019-09-05 07:43:59,54.5,24
"306",2019-09-05 07:44:02,54.6,24.1
"307",2019-09-05 07:44:04,54.5,24.1
"308",2019-09-05 07:44:07,54.5,24.1
"309",2019-09-05 07:44:09,54.5,24.1
"310",2019-09-05 07:44:12,54.5,24.1
"311",2019-09-05 07:44:14,54.5,24.1
"312",2019-09-05 07:44:17,54.5,24.1
"313",2019-09-05 07:44:19,54.4,24
"314",2019-09-05 07:44:22,54.5,24.1
"315",2019-09-05 07:44:24,54.5,24.1
"316",2019-09-05 07:44:27,54.5,24.1
"317",2019-09-05 07:44:29,54.5,24.1
"318",2019-09-05 07:44:32,54.5,24.1
"319",2019-09-05 07:44:34,54.5,24.1
"320",2019-09-05 07:44:37,54.5,24.1
"321",2019-09-05 07:44:40,54.5,24.1
"322",2019-09-05 07:44:42,54.5,24.1
"323",2019-09-05 07:44:45,54.5,24.1
"324",2019-09-05 07:44:47,54.5,24.1
"325",2019-09-05 07:44:50,54.5,24.1
"326",2019-09-05 07:44:52,54.5,24.1
"327",2019-09-05 07:44:55,54.5,24.1
"328",2019-09-05 07:44:57,54.5,24.1
"329",2019-09-05 07:45:00,54.5,24.1
"330",2019-09-05 07:45:05,54.5,24.1
"331",2019-09-05 07:45:07,54.5,24.1
"332",2019-09-05 07:45:10,54.5,24.1
"333",2019-09-05 07:45:12,54.5,24.1
"334",2019-09-05 07:45:15,54.5,24.1
"335",2019-09-05 07:45:17,54.5,24.1
"336",2019-09-05 07:45:20,54.5,24.1
"337",2019-09-05 07:45:23,54.5,24.1
"338",2019-09-05 07:45:25,54.5,24.1
"339",2019-09-05 07:45:30,54.5,24.1
"340",2019-09-05 07:45:33,54.5,24.1
"341",2019-09-05 07:45:35,54.6,24.1
"342",2019-09-05 07:45:38,54.6,24.1
"343",2019-09-05 07:45:40,54.6,24.1
"344",2019-09-05 07:45:43,54.6,24.1
"345",2019-09-05 07:45:45,54.7,24.1
"346",2019-09-05 07:45:48,54.7,24.1
"347",2019-09-05 07:45:50,54.7,24.1
"348",2019-09-05 07:45:53,54.7,24.1
"349",2019-09-05 07:45:55,54.8,24.1
"350",2019-09-05 07:45:58,54.8,24.1
"351",2019-09-05 07:46:00,54.8,24.2
"352",2019-09-05 07:46:03,54.8,24.1
"353",2019-09-05 07:46:06,54.8,24.2
"354",2019-09-05 07:46:08,54.8,24.2
"355",2019-09-05 07:46:11,54.9,24.2
"356",2019-09-05 07:46:13,54.8,24.1
"357",2019-09-05 07:46:16,54.9,24.2
"358",2019-09-05 07:46:18,54.9,24.2
"359",2019-09-05 07:46:21,54.9,24.2
"360",2019-09-05 07:46:23,54.9,24.2
"361",2019-09-05 07:46:26,54.9,24.2
"362",2019-09-05 07:46:28,54.9,24.2
"363",2019-09-05 07:46:31,54.9,24.2
"364",2019-09-05 07:46:36,54.9,24.2
"365",2019-09-05 07:46:38,54.9,24.2
"366",2019-09-05 07:46:43,54.9,24.2
"367",2019-09-05 07:46:46,54.9,24.2
"368",2019-09-05 07:46:49,54.9,24.2
"369",2019-09-05 07:46:51,54.9,24.2
"370",2019-09-05 07:46:54,54.9,24.2
"371",2019-09-05 07:46:56,54.9,24.2
"372",2019-09-05 07:46:59,54.9,24.2
"373",2019-09-05 07:47:06,54.9,24.2
"374",2019-09-05 07:47:11,54.9,24.2
"375",2019-09-05 07:47:14,54.9,24.2
"376",2019-09-05 07:47:16,54.9,24.2
"377",2019-09-05 07:47:19,54.9,24.2
"378",2019-09-05 07:47:24,54.9,24.2
"379",2019-09-05 07:47:26,54.9,24.2
"380",2019-09-05 07:47:29,54.9,24.2
"381",2019-09-05 07:47:32,54.9,24.2
"382",2019-09-05 07:47:34,55,24.3
"383",2019-09-05 07:47:37,54.9,24.2
"384",2019-09-05 07:47:39,54.9,24.2
"385",2019-09-05 07:47:42,54.9,24.2
"386",2019-09-05 07:47:44,55,24.3
"387",2019-09-05 07:47:47,55,24.3
"388",2019-09-05 07:47:49,54.9,24.2
"389",2019-09-05 07:47:52,55,24.3
"390",2019-09-05 07:47:54,55,24.3
"391",2019-09-05 07:47:57,55,24.3
"392",2019-09-05 07:47:59,55,24.3
"393",2019-09-05 07:48:02,55,24.3
"394",2019-09-05 07:48:04,55,24.3
"395",2019-09-05 07:48:07,55,24.3
"396",2019-09-05 07:48:12,55,24.3
"397",2019-09-05 07:48:15,55,24.3
"398",2019-09-05 07:48:17,55,24.3
"399",2019-09-05 07:48:20,55,24.3
"400",2019-09-05 07:48:22,55,24.3
"401",2019-09-05 07:48:25,55,24.3
"402",2019-09-05 07:48:30,55,24.3
"403",2019-09-05 07:48:32,55,24.3
"404",2019-09-05 07:48:35,55,24.3
"405",2019-09-05 07:48:37,55,24.3
"406",2019-09-05 07:48:40,54.9,24.2
"407",2019-09-05 07:48:45,55,24.3
"408",2019-09-05 07:48:47,55,24.3
"409",2019-09-05 07:48:50,55,24.3
"410",2019-09-05 07:48:52,55,24.3
"411",2019-09-05 07:48:55,55,24.3
"412",2019-09-05 07:48:58,55,24.3
"413",2019-09-05 07:49:00,55,24.3
"414",2019-09-05 07:49:03,55,24.3
"415",2019-09-05 07:49:05,55,24.3
"416",2019-09-05 07:49:08,55,24.3
"417",2019-09-05 07:49:10,55,24.4
"418",2019-09-05 07:49:13,55,24.3
"419",2019-09-05 07:49:15,55,24.3
"420",2019-09-05 07:49:18,55,24.3
"421",2019-09-05 07:49:20,55,24.3
"422",2019-09-05 07:49:23,55,24.3
"423",2019-09-05 07:49:25,55,24.3
"424",2019-09-05 07:49:28,55,24.3
"425",2019-09-05 07:49:30,55,24.3
"426",2019-09-05 07:49:33,55,24.3
"427",2019-09-05 07:49:36,55,24.3
"428",2019-09-05 07:49:38,55,24.4
"429",2019-09-05 07:49:41,55,24.3
"430",2019-09-05 07:49:43,55,24.4
"431",2019-09-05 07:49:46,55,24.3
"432",2019-09-05 07:49:48,55,24.3
"433",2019-09-05 07:49:51,55,24.4
"434",2019-09-05 07:49:53,55,24.4
"435",2019-09-05 07:49:56,55,24.4
"436",2019-09-05 07:49:58,55,24.4
"437",2019-09-05 07:50:03,55,24.4
"438",2019-09-05 07:50:06,55,24.4
"439",2019-09-05 07:50:08,55,24.4
"440",2019-09-05 07:50:11,55,24.4
"441",2019-09-05 07:50:13,54.9,24.3
"442",2019-09-05 07:50:16,54.9,24.4
"443",2019-09-05 07:50:19,54.9,24.3
"444",2019-09-05 07:50:21,55,24.4
"445",2019-09-05 07:50:24,55,24.4
"446",2019-09-05 07:50:26,55,24.4
"447",2019-09-05 07:50:29,55,24.4
"448",2019-09-05 07:50:31,55,24.4
"449",2019-09-05 07:50:34,55,24.4
"450",2019-09-05 07:50:36,55,24.4
"451",2019-09-05 07:50:39,55,24.4
"452",2019-09-05 07:50:41,55,24.4
"453",2019-09-05 07:51:21,NA,NA
"454",2019-09-05 07:52:01,NA,NA
"455",2019-09-05 07:52:41,NA,NA
"456",2019-09-05 07:52:57,55.1,24.5
"457",2019-09-05 07:52:59,55.1,24.5
"458",2019-09-05 07:53:02,55.1,24.5
"459",2019-09-05 07:53:04,55.1,24.5
"460",2019-09-05 07:53:07,55.1,24.5
"461",2019-09-05 07:53:09,55.1,24.5
"462",2019-09-05 07:53:12,55.1,24.5
"463",2019-09-05 07:53:14,55.1,24.5
"464",2019-09-05 07:53:17,55.1,24.5
"465",2019-09-05 07:53:19,55.1,24.5
"466",2019-09-05 07:53:22,55.1,24.5
"467",2019-09-05 07:53:25,55.1,24.5
"468",2019-09-05 07:53:27,55.1,24.5
"469",2019-09-05 07:53:30,55.1,24.5
"470",2019-09-05 07:53:32,55.1,24.5
"471",2019-09-05 07:53:35,55.1,24.5
"472",2019-09-05 07:53:37,55.1,24.5
"473",2019-09-05 07:53:40,55.1,24.5
"474",2019-09-05 07:53:42,55.1,24.6
"475",2019-09-05 07:53:45,55.1,24.5
"476",2019-09-05 07:53:47,55.1,24.5
"477",2019-09-05 07:53:50,55.1,24.5
"478",2019-09-05 07:53:52,55.1,24.5
"479",2019-09-05 07:53:55,55.1,24.5
"480",2019-09-05 07:53:57,55.2,24.6
"481",2019-09-05 07:54:00,55.2,24.6
"482",2019-09-05 07:54:02,55.2,24.6
"483",2019-09-05 07:54:05,55.2,24.6
"484",2019-09-05 07:54:08,55.2,24.6
"485",2019-09-05 07:54:10,55.2,24.6
"486",2019-09-05 07:54:13,55.1,24.5
"487",2019-09-05 07:54:15,55.2,24.6
"488",2019-09-05 07:54:18,55.2,24.6
"489",2019-09-05 07:54:20,55.2,24.6
"490",2019-09-05 07:54:23,55.2,24.6
"491",2019-09-05 07:54:25,55.2,24.6
"492",2019-09-05 07:54:28,55.2,24.6
"493",2019-09-05 07:54:30,55.2,24.6
"494",2019-09-05 07:54:33,55.2,24.6
"495",2019-09-05 07:54:35,55.2,24.6
"496",2019-09-05 07:54:38,55.2,24.6
"497",2019-09-05 07:54:40,55.2,24.6
"498",2019-09-05 07:54:43,55.2,24.6
"499",2019-09-05 07:54:45,55.2,24.6
"500",2019-09-05 07:54:48,55.2,24.6
"501",2019-09-05 07:54:51,55.2,24.6
"502",2019-09-05 07:54:53,55.2,24.6
"503",2019-09-05 07:54:56,55.2,24.6
"504",2019-09-05 07:54:58,55.2,24.6
"505",2019-09-05 07:55:03,55.2,24.6
"506",2019-09-05 07:55:06,55.2,24.6
"507",2019-09-05 07:55:08,55.2,24.6
"508",2019-09-05 07:55:11,55.2,24.6
"509",2019-09-05 07:55:13,55.1,24.6
"510",2019-09-05 07:55:16,55.1,24.6
"511",2019-09-05 07:55:18,55.1,24.6
